testID,i_YY53,i_OX84,i_WZ23,i_PI79,i_FE86,i_MT80,i_JM82,i_AF64,i_YJ65,i_GI11,i_TW37,i_JF49,i_FO48,i_VN88,i_TJ68,i_QZ64,i_XA12,i_HB29,i_OI90
77,2,1,0,0,0,0,0,0,1,0,1,2,1,0,0,1,1,2,0
78,2,2,1,1,2,1,1,1,1,0,1,2,1,1,1,1,1,0,1
79,2,3,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,1
80,0,2,1,1,1,0,1,1,1,1,1,2,1,0,0,0,0,0,0
81,2,3,1,1,0,1,3,0,0,1,1,1,1,2,1,1,1,0,1
82,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,0,2,1
83,1,1,1,0,1,2,1,0,1,0,0,0,1,2,1,0,0,1,1
84,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0
85,1,2,1,1,2,2,1,1,1,1,1,1,0,0,1,1,0,0,0
86,1,2,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
87,0,2,1,2,1,2,1,1,0,0,1,1,1,1,1,1,0,0,0
88,2,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,1
89,2,2,1,0,1,1,0,1,1,0,1,2,1,2,0,1,1,1,1
90,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0
91,1,2,1,1,2,2,2,1,1,1,0,1,1,2,1,1,1,1,1
92,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
93,1,2,1,1,1,1,0,1,2,1,1,0,1,1,1,0,1,0,1
94,1,2,1,2,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1
95,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0
96,2,3,1,2,2,2,5,1,1,1,1,1,1,2,1,1,1,2,1
97,2,0,1,0,1,0,1,0,1,0,1,2,0,0,1,1,0,0,0
98,1,2,1,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1
99,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,0,1
100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2,1,1,1,1,2,1,2,1,0,0,0,1,0,0,0,0,0
102,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0,0
103,1,2,1,0,2,0,0,0,0,1,0,0,1,0,1,0,1,0,1
104,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,0,0,1
105,2,2,1,2,1,0,0,1,1,0,1,1,1,1,1,0,1,2,0
106,2,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1
107,2,2,1,2,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1
108,1,0,0,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0
109,1,2,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0
110,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
111,1,1,1,0,0,1,0,1,2,1,0,0,1,1,1,0,1,1,1
112,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
113,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
114,2,2,1,0,2,2,0,1,2,0,1,1,0,1,1,1,0,1,1
115,1,1,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,2,0
116,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
117,2,2,1,1,2,0,2,1,1,1,1,2,0,1,1,0,1,2,1
118,1,1,1,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0
119,1,2,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1
120,2,3,1,2,2,1,2,1,0,1,1,1,0,2,1,1,1,2,1
121,1,2,1,0,1,1,1,0,2,0,0,1,1,2,1,0,0,0,0
122,1,2,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0
123,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0
124,1,2,1,2,2,1,1,1,2,1,1,1,1,0,1,1,1,0,1
125,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1
126,0,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1,1,1
127,1,2,1,2,0,2,4,1,1,1,1,1,1,2,1,1,1,2,1
128,2,2,1,2,2,1,1,1,2,0,1,1,0,1,0,0,1,1,1
129,2,2,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1
130,2,2,1,2,0,1,1,1,1,1,1,1,0,1,0,0,1,2,1
131,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1
132,1,2,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,2,0
133,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0
134,2,1,1,1,2,1,2,1,1,1,1,1,1,1,0,1,1,2,1
135,1,2,0,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1
136,2,3,1,1,2,1,4,1,0,0,1,1,1,2,1,1,0,1,1
137,1,2,1,1,1,2,0,1,0,0,1,1,1,0,0,0,1,0,1
138,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
139,1,1,0,2,1,1,1,1,0,1,1,1,1,1,1,0,1,2,0
140,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
141,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,1,2,1,2,1,2,2,0,2,1,1,2,1,1,1,1,1,1,0
143,1,3,1,2,2,0,0,1,1,1,1,0,0,1,1,1,1,1,0
144,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
145,2,2,1,2,2,1,1,0,1,1,1,1,1,2,1,0,0,0,1
146,2,1,1,1,0,2,1,1,2,0,1,0,1,2,1,0,1,0,1
147,2,2,1,1,2,2,2,1,0,1,0,2,1,2,0,1,1,2,1
148,2,1,1,1,0,2,2,0,0,1,1,0,1,0,1,0,0,0,0
149,2,1,1,1,1,2,0,1,1,1,1,2,1,0,0,0,1,1,1
150,2,1,1,1,0,1,1,0,2,0,0,1,1,2,0,0,0,0,0
151,2,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,1,0,0
152,2,2,1,1,2,1,2,1,2,1,1,0,0,1,1,0,1,2,1
153,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1
154,2,3,1,1,1,1,1,1,2,1,1,1,1,1,2,0,0,0,1
155,2,2,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1
156,2,2,1,2,2,2,1,1,2,1,0,0,1,1,1,0,1,2,0
157,2,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,1,1,0
158,2,3,1,2,2,2,2,1,2,0,1,2,1,2,1,1,1,1,1
159,2,2,1,1,0,0,2,1,1,0,1,1,1,1,1,1,1,0,1
160,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0
161,2,2,1,1,1,1,2,1,0,1,1,0,1,1,0,0,0,0,0
162,2,3,1,2,2,2,1,1,1,0,1,0,0,2,0,1,1,2,0
163,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0
164,2,2,1,0,0,1,0,1,1,0,1,1,0,2,1,1,1,0,0
165,2,2,1,1,1,1,2,1,1,1,1,2,1,0,1,1,0,0,1
166,0,2,1,2,2,0,1,1,0,1,1,1,1,0,0,1,0,2,1
167,1,2,1,2,2,2,0,1,2,1,1,1,1,1,1,0,1,2,1
168,1,2,1,1,1,2,0,1,1,0,1,0,1,1,1,1,1,0,1
169,0,2,1,1,2,2,1,1,2,1,1,1,0,1,0,1,0,0,0
170,1,2,0,1,1,2,1,1,1,0,1,1,1,1,1,1,0,1,0
171,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0
172,2,2,1,1,2,2,1,1,1,1,1,0,1,2,2,0,1,0,1
173,2,2,0,1,1,2,1,1,1,0,1,1,0,1,1,0,0,1,1
174,1,2,1,2,1,2,2,0,0,1,1,1,0,2,0,1,1,1,1
175,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0
176,1,2,0,1,1,2,1,1,2,1,1,0,1,0,0,0,1,1,1
177,2,2,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0
178,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,2,1,1,1,0,1,0,1,2,1,1,2,1,2,1,0,1,2,1
180,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
182,2,2,1,1,2,2,1,1,2,1,1,0,1,1,1,1,0,1,1
183,0,1,1,1,0,2,0,0,1,1,1,1,1,0,0,1,0,1,0
184,2,2,1,1,0,0,0,0,2,1,1,0,1,2,0,1,0,0,0
185,2,2,1,0,2,0,1,1,0,1,0,2,1,2,1,1,1,1,1
186,1,1,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0,0,0
187,2,2,1,1,1,2,1,0,2,1,0,1,0,0,1,1,0,2,1
188,2,2,1,1,2,2,1,1,1,1,1,2,0,0,0,0,1,2,0
189,2,2,1,0,1,2,1,1,0,1,1,0,1,2,1,1,1,2,1
190,2,2,1,2,1,2,3,1,1,1,1,1,1,2,1,1,1,1,1
191,1,2,1,2,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
192,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
193,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0
194,2,2,1,1,1,1,1,1,2,1,0,1,1,2,0,1,0,0,0
195,2,2,1,2,2,0,2,1,0,0,0,0,1,1,0,0,0,0,1
196,2,3,1,2,0,2,0,1,1,1,1,1,0,1,1,0,1,1,1
197,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,0
198,2,2,1,2,2,2,1,0,1,1,0,0,1,1,2,0,1,0,1
199,2,0,1,0,0,2,0,1,1,0,1,0,1,0,0,0,1,0,0
200,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
201,1,0,0,1,2,1,0,1,1,0,1,1,1,0,1,0,0,1,1
202,2,3,1,1,2,2,3,1,1,1,1,2,1,2,1,1,1,2,1
203,2,2,1,0,1,2,1,1,2,1,1,1,1,0,1,0,1,0,0
204,2,1,0,2,2,0,0,1,1,1,1,0,1,1,1,1,1,2,1
205,2,2,0,0,2,2,1,0,2,1,0,1,0,2,0,1,1,0,0
206,1,2,0,2,2,0,0,1,1,0,1,2,1,0,1,0,1,0,1
207,0,2,1,1,1,2,1,1,1,0,1,0,1,1,1,0,0,0,0
208,2,2,0,1,2,2,0,0,1,0,0,0,1,1,0,1,1,1,1
209,2,2,1,2,1,0,0,1,0,1,1,2,1,2,1,1,1,0,1
210,1,1,1,1,2,2,1,1,1,0,1,1,1,1,1,0,0,1,0
211,2,1,1,0,1,2,0,0,1,0,1,1,0,1,1,0,0,0,0
212,2,2,1,2,2,2,3,1,2,0,1,2,1,1,1,1,0,2,1
213,1,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
214,2,2,1,1,1,2,2,1,2,1,1,2,1,0,0,0,1,2,1
215,0,1,1,1,1,1,1,1,2,1,0,0,1,1,1,0,1,0,0
216,2,2,1,1,0,2,0,1,0,0,0,1,0,2,0,1,1,0,1
217,1,2,0,1,0,0,0,1,2,1,1,1,0,1,1,1,0,1,1
218,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,0,1,0,1
219,2,2,1,1,2,1,1,1,2,1,0,0,1,2,1,1,0,2,1
220,2,2,1,1,2,2,0,1,1,1,1,1,1,1,2,0,1,0,0
221,2,2,1,1,2,1,0,0,0,0,1,0,1,1,1,1,0,2,1
222,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0
223,2,2,1,2,0,1,3,0,2,0,1,1,0,0,0,0,1,2,1
224,1,1,0,1,1,2,0,1,1,0,1,1,0,1,1,1,0,0,0
225,2,3,1,2,1,2,4,1,2,1,1,2,1,1,1,1,1,2,1
226,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
227,1,1,1,2,2,0,1,1,1,0,0,0,0,0,0,1,1,0,0
228,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
229,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
230,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
231,0,0,0,0,0,2,1,1,1,0,0,1,0,0,1,0,1,0,0
232,1,2,1,1,1,0,1,1,1,0,0,2,0,0,0,1,0,0,0
233,0,2,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
234,1,1,0,0,1,2,0,0,1,0,0,1,0,0,1,0,1,1,1
235,0,3,1,1,2,1,2,1,0,0,1,0,1,1,1,0,1,0,1
236,1,3,1,2,2,2,1,0,0,1,0,2,1,2,1,1,1,1,1
237,2,1,1,1,1,2,2,1,1,1,1,0,0,2,1,1,0,2,1
238,2,2,1,1,2,2,1,1,2,1,1,2,0,1,1,0,0,2,1
239,2,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
240,1,2,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
241,1,2,1,2,2,2,2,0,2,1,1,2,0,2,1,0,1,2,0
242,2,1,0,0,2,1,3,1,0,1,1,2,1,1,0,1,1,1,1
243,2,2,1,1,0,2,1,1,0,1,1,1,1,2,1,1,1,0,1
244,2,3,1,1,1,0,1,1,1,1,1,2,1,2,0,1,0,0,1
245,1,1,1,1,0,2,2,1,0,1,1,1,1,1,1,1,1,0,0
246,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,0,1,1,1
247,2,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1
248,1,1,1,0,2,0,1,0,1,1,0,2,1,0,1,0,1,1,0
249,1,1,1,2,2,0,1,1,1,0,1,1,0,0,1,0,1,2,1
250,2,2,1,1,1,1,1,1,1,1,1,2,1,0,0,1,0,1,0
251,2,1,0,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
252,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0
253,1,2,1,1,0,0,1,1,1,0,1,2,1,1,0,1,0,1,1
254,1,2,1,0,1,2,1,0,1,0,1,1,1,1,1,0,1,0,0
255,2,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,2,1
256,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0
257,2,2,1,1,2,0,1,1,0,1,1,1,0,2,1,1,1,1,0
258,2,1,1,0,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1
259,1,2,1,2,2,2,5,1,1,1,1,2,1,0,1,1,1,0,1
260,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
261,1,1,1,1,0,2,1,1,0,1,1,0,0,0,1,1,0,1,1
262,2,2,1,1,2,0,3,1,0,1,1,2,1,1,1,1,1,0,1
263,1,2,1,1,2,1,1,0,1,0,1,1,0,2,0,0,0,0,0
264,1,1,0,1,1,1,0,1,2,1,0,0,1,2,0,0,1,0,1
265,2,2,1,2,1,1,1,0,2,0,1,1,0,1,1,1,1,0,0
266,1,1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0
267,1,2,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,2,0
268,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,0
269,2,2,1,0,1,1,2,1,1,1,0,1,0,2,1,1,1,1,0
270,1,1,1,0,0,0,1,0,0,1,0,1,1,2,1,1,1,1,1
271,1,2,0,1,1,1,2,1,1,1,0,1,0,2,0,1,0,0,1
272,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0
273,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
274,1,0,1,1,0,0,2,1,1,1,1,0,1,0,1,1,0,0,1
275,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1
276,2,2,1,2,2,2,5,1,1,1,1,1,1,2,2,1,1,2,1
277,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0
278,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
279,2,1,1,2,2,2,1,1,2,1,0,1,1,1,0,1,1,2,0
280,2,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0
281,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0
282,1,1,0,1,2,1,0,0,1,0,0,0,1,0,1,1,0,0,0
283,2,2,1,1,1,0,2,1,0,1,0,1,1,2,1,0,0,2,0
284,2,2,1,2,0,2,1,1,2,1,0,2,1,1,1,1,1,1,1
285,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1
286,0,2,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0
287,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
288,2,3,1,2,2,1,1,1,0,1,1,1,1,2,1,1,0,1,1
289,0,0,0,0,1,2,1,1,1,0,1,0,0,0,1,1,0,0,0
290,2,2,1,1,2,2,1,1,1,1,1,1,0,2,0,0,1,1,0
291,1,0,1,0,1,0,0,0,2,1,1,0,0,1,0,0,1,0,0
292,2,2,1,2,2,1,3,1,0,1,1,2,1,1,1,1,1,2,1
293,1,1,1,2,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1
294,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1
295,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
296,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
297,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
298,2,2,1,1,1,1,4,1,1,1,1,1,0,1,1,1,1,2,1
299,2,3,1,1,1,2,4,1,0,1,1,2,1,1,0,1,1,2,1
300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
301,1,3,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1
302,2,2,1,2,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0
303,1,2,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1
304,2,2,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
305,2,2,1,1,2,2,1,1,1,0,1,2,1,2,1,1,0,1,1
306,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0
307,1,1,1,2,0,1,0,0,1,0,1,0,1,2,1,0,0,1,0
308,2,3,1,1,1,2,3,1,0,1,1,1,1,1,1,1,1,2,0
309,2,2,1,1,1,2,1,1,1,1,0,1,1,2,1,1,0,1,0
310,2,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
311,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
312,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0
313,2,2,0,1,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0
314,2,1,1,1,1,0,0,0,2,1,1,0,1,0,1,1,0,0,0
315,1,1,1,1,0,1,1,0,2,0,1,0,0,2,0,0,1,0,0
316,2,2,1,2,2,1,1,0,1,1,1,1,1,1,1,1,1,0,0
317,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1
318,1,2,0,1,1,0,1,1,2,0,0,0,1,1,1,0,0,0,1
319,1,1,0,1,1,0,1,0,0,1,1,0,0,2,1,1,0,0,0
320,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,2,0
321,1,0,0,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
322,1,2,1,1,0,2,2,1,1,1,1,1,1,1,1,0,1,0,1
323,2,2,1,2,1,0,2,1,0,1,1,1,0,2,2,0,0,0,1
324,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
325,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
326,1,0,1,1,0,2,0,1,0,1,1,2,0,2,0,1,0,0,1
327,2,2,1,1,2,0,1,1,1,1,1,2,1,0,1,1,0,1,0
328,2,0,1,2,1,2,1,1,2,1,1,1,0,2,1,1,1,0,1
329,2,2,1,2,2,1,1,0,0,1,1,0,0,1,1,0,1,0,0
330,2,3,1,2,1,1,3,1,0,1,1,1,1,2,0,1,1,1,1
331,2,3,1,1,2,2,2,1,1,1,1,1,0,1,0,1,1,1,1
332,2,2,1,1,1,2,1,0,1,1,0,1,1,1,0,1,0,0,0
333,2,2,0,2,2,2,2,1,2,1,1,0,1,1,1,1,1,2,0
334,2,1,1,0,1,0,0,1,1,0,0,1,0,2,1,0,0,0,0
335,2,2,0,2,2,2,2,1,1,1,0,2,1,1,0,1,1,1,0
336,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
337,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,2,1
338,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0
339,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
340,2,0,0,1,1,0,2,0,0,0,0,1,1,0,0,1,0,0,1
341,2,1,1,2,1,2,1,1,1,0,1,1,1,2,1,0,0,0,1
342,2,3,1,2,2,2,5,1,1,1,1,2,1,2,0,1,1,2,1
343,2,1,1,2,1,2,5,1,1,1,0,2,1,1,1,0,1,2,1
